itemName,cooldownSeconds
Delayed Cut I,50
Delayed Cut II,45
Delayed Cut III,40
Delayed Cut IV,35
Delayed Cut V,30
Colossal Cleave I,85
Colossal Cleave II,80
Colossal Cleave III,75
Colossal Cleave IV,70
Colossal Cleave V,65
Living Shadow I,120
Living Shadow II,110
Living Shadow III,100
Living Shadow IV,90
Living Shadow V,80
Shadow Slip I,55
Shadow Slip II,45
Shadow Slip III,35
Shadow Slip IV,25
Shadow Slip V,15
Bermuda Triangle I,180
Bermuda Triangle II,180
Bermuda Triangle III,180
Bermuda Triangle IV,180
Bermuda Triangle V,180
Vine Swing I,90
Vine Swing II,90
Vine Swing III,90
Vine Swing IV,90
Vine Swing V,90
Invocation I,120
Invocation II,105
Invocation III,90
Invocation IV,75
Invocation V,60
Chromatic Barrier I,60
Chromatic Barrier II,60
Chromatic Barrier III,60
Chromatic Barrier IV,60
Chromatic Barrier V,60
Light Speed I,60
Light Speed II,60
Light Speed III,60
Light Speed IV,60
Light Speed V,60
Super Star I,300
Super Star II,300
Super Star III,300
Super Star IV,300
Super Star V,300
Super Star VI,300
Super Star VII,300
Super Star VIII,300
Super Star IX,300
Super Star X,300
Beachball I,120
Beachball II,120
Beachball III,120
Beachball IV,120
Beachball V,120
Beachball VI,120
Beachball VII,120
Beachball VIII,120
Beachball IX,120
Beachball X,120
Domain Expansion I,180
Domain Expansion II,180
Domain Expansion III,180
Domain Expansion IV,180
Domain Expansion V,180
Domain Expansion VI,180
Domain Expansion VII,180
Domain Expansion VIII,180
Domain Expansion IX,180
Domain Expansion X,180
Chittering Scarabs I,150
Chittering Scarabs II,150
Chittering Scarabs III,150
Chittering Scarabs IV,150
Chittering Scarabs V,150
Apex Plunge I,180
Apex Plunge II,160
Apex Plunge III,140
Apex Plunge IV,120
Apex Plunge V,100
Ascension I,150
Ascension II,150
Ascension III,150
Ascension IV,150
Ascension V,150
Ascension VI,150
Ascension VII,150
Ascension VIII,150
Ascension IX,150
Ascension X,150
Ankh I,240
Ice Pillar I,120
Ice Pillar II,120
Ice Pillar III,120
Ice Pillar IV,120
Ice Pillar V,120
Ice Block I,140
Ice Block II,140
Ice Block III,140
Ice Block IV,140
Ice Block V,140
Flurry I,40
Flurry II,40
Flurry III,40
Flurry IV,40
Flurry V,40
Expel Cold I,30
Expel Cold II,30
Expel Cold III,30
Expel Cold IV,30
Expel Cold V,30
Blizzard I,90
Blizzard II,90
Blizzard III,90
Blizzard IV,90
Blizzard V,90
Blizzard VI,90
Blizzard VII,90
Blizzard VIII,90
Blizzard IX,90
Blizzard X,90
Snake Eyes I,40
Snake Eyes II,40
Snake Eyes III,40
Snake Eyes IV,40
Snake Eyes V,40
All In I,180
All In II,180
All In III,180
All In IV,180
All In V,180
Wild Card I,40
Wild Card II,35
Wild Card III,30
Wild Card IV,25
Wild Card V,20
Shuffle Deck I,540
Shuffle Deck II,480
Shuffle Deck III,420
Shuffle Deck IV,360
Shuffle Deck V,300
Royal Flush I,120
Royal Flush II,120
Royal Flush III,120
Royal Flush IV,120
Royal Flush V,120
Royal Flush VI,120
Royal Flush VII,120
Royal Flush VIII,120
Royal Flush IX,120
Royal Flush X,120
Bluff I,180
Bluff II,180
Bluff III,180
Bluff IV,180
Bluff V,180
Ectoplasm I,120
Ectoplasm II,100
Ectoplasm III,80
Ectoplasm IV,60
Ectoplasm V,40
Banshee's Wail I,120
Banshee's Wail II,120
Banshee's Wail III,120
Banshee's Wail IV,120
Banshee's Wail V,120
Undying I,600
Undying II,600
Undying III,600
Undying IV,600
Undying V,600
Wraithwalk I,90
Wraithwalk II,90
Wraithwalk III,90
Wraithwalk IV,90
Wraithwalk V,90
Horsemen Of The Apocalypse I,240
Horsemen Of The Apocalypse II,220
Horsemen Of The Apocalypse III,200
